date,value
1995-01-03,743.58
1995-01-04,745.84
1995-01-05,745.66
1995-01-06,749.69
1995-01-09,752.09
1995-01-10,756.52
1995-01-11,755.74
1995-01-12,756.51
1995-01-13,762.16
1995-01-16,768.16
1995-01-17,772.14
1995-01-18,772.38
1995-01-19,768.55
1995-01-20,762.05
1995-01-23,759.51
1995-01-24,763.20
1995-01-25,760.98
1995-01-26,757.56
1995-01-27,758.91
1995-01-30,751.83
1995-01-31,755.20
1995-02-01,758.31
1995-02-02,763.64
1995-02-03,772.06
1995-02-06,778.85
1995-02-07,778.97
1995-02-08,783.77
1995-02-09,785.44
1995-02-10,790.43
1995-02-13,789.42
1995-02-14,790.62
1995-02-15,795.63
1995-02-16,793.31
1995-02-17,786.97
1995-02-21,784.62
1995-02-22,787.93
1995-02-23,791.35
1995-02-24,791.08
1995-02-27,784.50
1995-02-28,793.73
1995-03-01,791.87
1995-03-02,793.68
1995-03-03,798.79
1995-03-06,797.77
1995-03-07,791.33
1995-03-08,795.81
1995-03-09,796.24
1995-03-10,802.22
1995-03-13,802.31
1995-03-14,808.24
1995-03-15,807.38
1995-03-16,809.34
1995-03-17,808.33
1995-03-20,810.49
1995-03-21,809.78
1995-03-22,809.10
1995-03-23,811.39
1995-03-24,818.66
1995-03-27,822.63
1995-03-28,826.14
1995-03-29,819.16
1995-03-30,816.86
1995-03-31,817.21
1995-04-03,818.05
1995-04-04,813.72
1995-04-05,816.32
1995-04-06,813.80
1995-04-07,814.69
1995-04-10,821.26
1995-04-11,824.83
1995-04-12,828.53
1995-04-13,832.64
1995-04-17,830.82
1995-04-18,825.74
1995-04-19,816.55
1995-04-20,819.01
1995-04-21,823.44
1995-04-24,828.91
1995-04-25,831.28
1995-04-26,836.91
1995-04-27,840.95
1995-04-28,843.98
1995-05-01,841.63
1995-05-02,841.79
1995-05-03,850.26
1995-05-04,846.75
1995-05-05,843.53
1995-05-08,849.29
1995-05-09,848.17
1995-05-10,847.62
1995-05-11,853.83
1995-05-12,858.94
1995-05-15,863.06
1995-05-16,868.25
1995-05-17,871.93
1995-05-18,864.06
1995-05-19,864.32
1995-05-22,871.18
1995-05-23,879.64
1995-05-24,877.98
1995-05-25,877.32
1995-05-26,871.87
1995-05-30,858.70
1995-05-31,864.58
1995-06-01,868.82
1995-06-02,872.97
1995-06-05,882.85
1995-06-06,879.40
1995-06-07,881.58
1995-06-08,886.13
1995-06-09,884.38
1995-06-12,887.98
1995-06-13,894.23
1995-06-14,895.72
1995-06-15,902.68
1995-06-16,908.65
1995-06-19,922.09
1995-06-20,929.83
1995-06-21,929.19
1995-06-22,940.09
1995-06-23,938.87
1995-06-26,926.98
1995-06-27,919.56
1995-06-28,920.52
1995-06-29,926.81
1995-06-30,933.45
1995-07-03,934.53
1995-07-05,941.82
1995-07-06,952.93
1995-07-07,969.76
1995-07-10,976.62
1995-07-11,970.22
1995-07-12,988.63
1995-07-13,994.15
1995-07-14,999.33
1995-07-17,1005.89
1995-07-18,988.53
1995-07-19,952.87
1995-07-20,960.57
1995-07-21,961.77
1995-07-24,978.57
1995-07-25,993.75
1995-07-26,1000.18
1995-07-27,1010.66
1995-07-28,1005.28
1995-07-31,1001.21
1995-08-01,991.11
1995-08-02,983.75
1995-08-03,982.70
1995-08-04,991.09
1995-08-07,995.22
1995-08-08,997.12
1995-08-09,1005.10
1995-08-10,1000.61
1995-08-11,1004.11
1995-08-14,1012.44
1995-08-15,1012.37
1995-08-16,1025.75
1995-08-17,1029.24
1995-08-18,1031.28
1995-08-21,1019.70
1995-08-22,1025.29
1995-08-23,1028.19
1995-08-24,1020.93
1995-08-25,1019.97
1995-08-28,1008.15
1995-08-29,1003.64
1995-08-30,1012.61
1995-08-31,1020.11
1995-09-01,1019.47
1995-09-05,1039.30
1995-09-06,1044.28
1995-09-07,1051.08
1995-09-08,1060.03
1995-09-11,1066.56
1995-09-12,1065.00
1995-09-13,1067.40
1995-09-14,1066.96
1995-09-15,1051.10
1995-09-18,1050.18
1995-09-19,1060.32
1995-09-20,1065.09
1995-09-21,1058.51
1995-09-22,1053.39
1995-09-25,1046.15
1995-09-26,1038.05
1995-09-27,1026.54
1995-09-28,1047.05
1995-09-29,1043.54
1995-10-02,1027.57
1995-10-03,1020.45
1995-10-04,1002.27
1995-10-05,1014.20
1995-10-06,1012.04
1995-10-09,984.74
1995-10-10,983.47
1995-10-11,1001.57
1995-10-12,1015.63
1995-10-13,1018.38
1995-10-16,1018.13
1995-10-17,1035.44
1995-10-18,1045.13
1995-10-19,1046.97
1995-10-20,1039.53
1995-10-23,1036.92
1995-10-24,1039.24
1995-10-25,1026.47
1995-10-26,1017.57
1995-10-27,1025.55
1995-10-30,1039.69
1995-10-31,1036.06
1995-11-01,1040.50
1995-11-02,1057.32
1995-11-03,1065.66
1995-11-06,1062.14
1995-11-07,1043.90
1995-11-08,1047.94
1995-11-09,1065.59
1995-11-10,1063.87
1995-11-13,1058.46
1995-11-14,1040.62
1995-11-15,1041.85
1995-11-16,1044.48
1995-11-17,1045.03
1995-11-20,1029.47
1995-11-21,1024.99
1995-11-22,1021.24
1995-11-24,1030.17
1995-11-27,1029.32
1995-11-28,1050.05
1995-11-29,1057.57
1995-11-30,1059.20
1995-12-01,1055.31
1995-12-04,1069.79
1995-12-05,1065.89
1995-12-06,1061.73
1995-12-07,1053.17
1995-12-08,1062.41
1995-12-11,1061.50
1995-12-12,1052.07
1995-12-13,1056.54
1995-12-14,1038.19
1995-12-15,1030.48
1995-12-18,1002.56
1995-12-19,1026.41
1995-12-20,1025.27
1995-12-21,1040.64
1995-12-22,1046.89
1995-12-26,1049.37
1995-12-27,1048.13
1995-12-28,1042.22
1995-12-29,1052.13
