date,value
2024-01-02,14765.94
2024-01-03,14592.21
2024-01-04,14510.30
2024-01-05,14524.07
2024-01-08,14843.77
2024-01-09,14857.71
2024-01-10,14969.65
2024-01-11,14970.18
2024-01-12,14972.76
2024-01-16,14944.35
2024-01-17,14855.62
2024-01-18,15055.65
2024-01-19,15310.97
2024-01-22,15360.29
2024-01-23,15425.94
2024-01-24,15481.92
2024-01-25,15510.50
2024-01-26,15455.36
2024-01-29,15628.04
2024-01-30,15509.90
2024-01-31,15164.01
2024-02-01,15361.64
2024-02-02,15628.95
2024-02-05,15597.68
2024-02-06,15609.00
2024-02-07,15756.64
2024-02-08,15793.71
2024-02-09,15990.66
2024-02-12,15942.55
2024-02-13,15655.60
2024-02-14,15859.15
2024-02-15,15906.17
2024-02-16,15775.65
2024-02-20,15630.78
2024-02-21,15580.87
2024-02-22,16041.62
2024-02-23,15996.82
2024-02-26,15976.25
2024-02-27,16035.30
2024-02-28,15947.74
2024-02-29,16091.92
2024-03-01,16274.94
2024-03-04,16207.51
2024-03-05,15939.59
2024-03-06,16031.54
2024-03-07,16273.38
2024-03-08,16085.11
2024-03-11,16019.27
2024-03-12,16265.64
2024-03-13,16177.77
2024-03-14,16128.53
2024-03-15,15973.17
2024-03-18,16103.45
2024-03-19,16166.79
2024-03-20,16369.41
2024-03-21,16401.84
2024-03-22,16428.82
2024-03-25,16384.47
2024-03-26,16315.70
2024-03-27,16399.52
2024-03-28,16379.46
2024-04-01,16396.83
2024-04-02,16240.45
2024-04-03,16277.46
2024-04-04,16049.08
2024-04-05,16248.52
2024-04-08,16253.96
2024-04-09,16306.64
2024-04-10,16170.36
2024-04-11,16442.20
2024-04-12,16175.09
2024-04-15,15885.02
2024-04-16,15865.25
2024-04-17,15683.37
2024-04-18,15601.50
2024-04-19,15282.01
2024-04-22,15451.31
2024-04-23,15696.64
2024-04-24,15712.75
2024-04-25,15611.76
2024-04-26,15927.90
2024-04-29,15983.08
2024-04-30,15657.82
2024-05-01,15605.48
2024-05-02,15840.96
2024-05-03,16156.33
2024-05-06,16349.25
2024-05-07,16332.56
2024-05-08,16302.76
2024-05-09,16346.26
2024-05-10,16340.87
2024-05-13,16388.24
2024-05-14,16511.18
2024-05-15,16742.39
2024-05-16,16698.32
2024-05-17,16685.97
2024-05-20,16794.87
2024-05-21,16832.62
2024-05-22,16801.54
2024-05-23,16736.03
2024-05-24,16920.79
2024-05-28,17019.88
2024-05-29,16920.58
2024-05-30,16737.08
2024-05-31,16735.02
2024-06-03,16828.67
2024-06-04,16857.05
2024-06-05,17187.90
2024-06-06,17173.12
2024-06-07,17133.13
2024-06-10,17192.53
2024-06-11,17343.55
2024-06-12,17608.44
2024-06-13,17667.56
2024-06-14,17688.88
2024-06-17,17857.02
2024-06-18,17862.23
2024-06-20,17721.59
2024-06-21,17689.36
2024-06-24,17496.82
2024-06-25,17717.65
2024-06-26,17805.16
2024-06-27,17858.68
2024-06-28,17732.60
2024-07-01,17879.30
2024-07-02,18028.76
2024-07-03,18188.30
2024-07-05,18352.76
2024-07-08,18403.74
2024-07-09,18429.29
2024-07-10,18647.45
2024-07-11,18283.41
2024-07-12,18398.45
2024-07-15,18472.57
2024-07-16,18509.34
2024-07-17,17996.92
2024-07-18,17871.22
2024-07-19,17726.94
2024-07-22,18007.57
2024-07-23,17997.35
2024-07-24,17342.41
2024-07-25,17181.72
2024-07-26,17357.88
2024-07-29,17370.20
2024-07-30,17147.42
2024-07-31,17599.40
2024-08-01,17194.15
2024-08-02,16776.16
2024-08-05,16200.08
2024-08-06,16366.85
2024-08-07,16195.81
2024-08-08,16660.02
2024-08-09,16745.30
2024-08-12,16780.61
2024-08-13,17187.61
2024-08-14,17192.60
2024-08-15,17594.50
2024-08-16,17631.72
2024-08-19,17876.77
2024-08-20,17816.94
2024-08-21,17918.99
2024-08-22,17619.35
2024-08-23,17877.79
2024-08-26,17725.76
2024-08-27,17754.82
2024-08-28,17556.03
2024-08-29,17516.43
2024-08-30,17713.62
2024-09-03,17136.30
2024-09-04,17084.30
2024-09-05,17127.66
2024-09-06,16690.83
2024-09-09,16884.60
2024-09-10,17025.88
2024-09-11,17395.53
2024-09-12,17569.68
2024-09-13,17683.98
2024-09-16,17592.13
2024-09-17,17628.06
2024-09-18,17573.30
2024-09-19,18013.98
2024-09-20,17948.32
2024-09-23,17974.27
2024-09-24,18074.52
2024-09-25,18082.21
2024-09-26,18190.29
2024-09-27,18119.59
2024-09-30,18189.17
2024-10-01,17910.36
2024-10-02,17925.12
2024-10-03,17918.48
2024-10-04,18137.85
2024-10-07,17923.90
2024-10-08,18182.92
2024-10-09,18291.62
2024-10-10,18282.05
2024-10-11,18342.94
2024-10-14,18502.69
2024-10-15,18315.59
2024-10-16,18367.08
2024-10-17,18373.61
2024-10-18,18489.55
2024-10-21,18540.00
2024-10-22,18573.13
2024-10-23,18276.65
2024-10-24,18415.49
2024-10-25,18518.61
2024-10-28,18567.19
2024-10-29,18712.75
2024-10-30,18607.93
2024-10-31,18095.15
2024-11-01,18239.92
2024-11-04,18179.98
2024-11-05,18439.17
2024-11-06,18983.47
2024-11-07,19269.46
2024-11-08,19286.78
2024-11-11,19298.76
2024-11-12,19281.40
2024-11-13,19230.73
2024-11-14,19107.65
2024-11-15,18680.12
2024-11-18,18791.81
2024-11-19,18987.47
2024-11-20,18966.14
2024-11-21,18972.42
2024-11-22,19003.65
2024-11-25,19054.83
2024-11-26,19175.58
2024-11-27,19060.48
