date,value
2000-01-03,4131.15
2000-01-04,3901.69
2000-01-05,3877.54
2000-01-06,3727.13
2000-01-07,3882.62
2000-01-10,4049.67
2000-01-11,3921.19
2000-01-12,3850.02
2000-01-13,3957.21
2000-01-14,4064.27
2000-01-18,4130.81
2000-01-19,4151.29
2000-01-20,4189.51
2000-01-21,4235.40
2000-01-24,4096.08
2000-01-25,4167.41
2000-01-26,4069.91
2000-01-27,4039.56
2000-01-28,3887.07
2000-01-31,3940.35
2000-02-01,4051.98
2000-02-02,4073.96
2000-02-03,4210.98
2000-02-04,4244.14
2000-02-07,4321.77
2000-02-08,4427.50
2000-02-09,4363.24
2000-02-10,4485.63
2000-02-11,4395.45
2000-02-14,4418.55
2000-02-15,4420.77
2000-02-16,4427.65
2000-02-17,4548.92
2000-02-18,4411.74
2000-02-22,4382.12
2000-02-23,4550.33
2000-02-24,4617.65
2000-02-25,4590.50
2000-02-28,4577.85
2000-02-29,4696.69
2000-03-01,4784.08
2000-03-02,4754.51
2000-03-03,4914.79
2000-03-06,4904.85
2000-03-07,4847.84
2000-03-08,4897.26
2000-03-09,5046.86
2000-03-10,5048.62
2000-03-13,4907.24
2000-03-14,4706.63
2000-03-15,4582.62
2000-03-16,4717.39
2000-03-17,4798.13
2000-03-20,4610.00
2000-03-21,4711.68
2000-03-22,4864.75
2000-03-23,4940.61
2000-03-24,4963.03
2000-03-27,4958.56
2000-03-28,4833.89
2000-03-29,4644.67
2000-03-30,4457.89
2000-03-31,4572.83
2000-04-03,4223.68
2000-04-04,4148.89
2000-04-05,4169.22
2000-04-06,4267.56
2000-04-07,4446.45
2000-04-10,4188.20
2000-04-11,4055.90
2000-04-12,3769.63
2000-04-13,3676.78
2000-04-14,3321.29
2000-04-17,3539.16
2000-04-18,3793.57
2000-04-19,3706.41
2000-04-20,3643.88
2000-04-24,3482.48
2000-04-25,3711.23
2000-04-26,3630.09
2000-04-27,3774.03
2000-04-28,3860.66
2000-05-01,3958.08
2000-05-02,3785.45
2000-05-03,3707.31
2000-05-04,3720.24
2000-05-05,3816.82
2000-05-08,3669.38
2000-05-09,3585.01
2000-05-10,3384.73
2000-05-11,3499.58
2000-05-12,3529.06
2000-05-15,3607.65
2000-05-16,3717.57
2000-05-17,3644.96
2000-05-18,3538.71
2000-05-19,3390.40
2000-05-22,3364.21
2000-05-23,3164.55
2000-05-24,3270.61
2000-05-25,3205.35
2000-05-26,3205.11
2000-05-30,3459.48
2000-05-31,3400.91
2000-06-01,3582.50
2000-06-02,3813.38
2000-06-05,3821.76
2000-06-06,3756.37
2000-06-07,3839.26
2000-06-08,3825.56
2000-06-09,3874.84
2000-06-12,3767.91
2000-06-13,3851.06
2000-06-14,3797.41
2000-06-15,3845.74
2000-06-16,3860.56
2000-06-19,3989.83
2000-06-20,4013.36
2000-06-21,4064.01
2000-06-22,3936.84
2000-06-23,3845.34
2000-06-26,3912.12
2000-06-27,3858.96
2000-06-28,3940.34
2000-06-29,3877.23
2000-06-30,3966.11
2000-07-03,3991.93
2000-07-05,3863.10
2000-07-06,3960.57
2000-07-07,4023.20
2000-07-10,3980.29
2000-07-11,3956.42
2000-07-12,4099.59
2000-07-13,4174.86
2000-07-14,4246.18
2000-07-17,4274.67
