date,value
2018-01-02,2695.81
2018-01-03,2713.06
2018-01-04,2723.99
2018-01-05,2743.15
2018-01-08,2747.71
2018-01-09,2751.29
2018-01-10,2748.23
2018-01-11,2767.56
2018-01-12,2786.24
2018-01-16,2776.42
2018-01-17,2802.56
2018-01-18,2798.03
2018-01-19,2810.3
2018-01-22,2832.97
2018-01-23,2839.13
2018-01-24,2837.54
2018-01-25,2839.25
2018-01-26,2872.87
2018-01-29,2853.53
2018-01-30,2822.43
2018-01-31,2823.81
2018-02-01,2821.98
2018-02-02,2762.13
2018-02-05,2648.94
2018-02-06,2695.14
2018-02-07,2681.66
2018-02-08,2581.0
2018-02-09,2619.55
2018-02-12,2656.0
2018-02-13,2662.94
2018-02-14,2698.63
2018-02-15,2731.2
2018-02-16,2732.22
2018-02-20,2716.26
2018-02-21,2701.33
2018-02-22,2703.96
2018-02-23,2747.3
2018-02-26,2779.6
2018-02-27,2744.28
2018-02-28,2713.83
2018-03-01,2677.67
2018-03-02,2691.25
2018-03-05,2720.94
2018-03-06,2728.12
2018-03-07,2726.8
2018-03-08,2738.97
2018-03-09,2786.57
2018-03-12,2783.02
2018-03-13,2765.31
2018-03-14,2749.48
2018-03-15,2747.33
2018-03-16,2752.01
2018-03-19,2712.92
2018-03-20,2716.94
2018-03-21,2711.93
2018-03-22,2643.69
2018-03-23,2588.26
2018-03-26,2658.55
2018-03-27,2612.62
2018-03-28,2605.0
2018-03-29,2640.87
2018-04-02,2581.88
2018-04-03,2614.45
2018-04-04,2644.69
2018-04-05,2662.84
2018-04-06,2604.47
2018-04-09,2613.16
2018-04-10,2656.87
2018-04-11,2642.19
2018-04-12,2663.99
2018-04-13,2656.3
2018-04-16,2677.84
2018-04-17,2706.39
2018-04-18,2708.64
2018-04-19,2693.13
2018-04-20,2670.14
2018-04-23,2670.29
2018-04-24,2634.56
2018-04-25,2639.4
2018-04-26,2666.94
2018-04-27,2669.91
2018-04-30,2648.05
2018-05-01,2654.8
2018-05-02,2635.67
2018-05-03,2629.73
2018-05-04,2663.42
2018-05-07,2672.63
2018-05-08,2671.92
2018-05-09,2697.79
2018-05-10,2723.07
2018-05-11,2727.72
2018-05-14,2730.13
2018-05-15,2711.45
2018-05-16,2722.46
2018-05-17,2720.13
2018-05-18,2712.97
2018-05-21,2733.01
2018-05-22,2724.44
2018-05-23,2733.29
2018-05-24,2727.76
2018-05-25,2721.33
2018-05-29,2689.86
2018-05-30,2724.01
2018-05-31,2705.27
2018-06-01,2734.62
2018-06-04,2746.87
2018-06-05,2748.8
2018-06-06,2772.35
2018-06-07,2770.37
2018-06-08,2779.03
2018-06-11,2782.0
2018-06-12,2786.85
2018-06-13,2775.63
2018-06-14,2782.49
2018-06-15,2779.66
2018-06-18,2773.75
2018-06-19,2762.59
2018-06-20,2767.32
2018-06-21,2749.76
2018-06-22,2754.88
2018-06-25,2717.07
2018-06-26,2723.06
2018-06-27,2699.63
2018-06-28,2716.31
2018-06-29,2718.37
2018-07-02,2726.71
2018-07-03,2713.22
2018-07-05,2736.61
2018-07-06,2759.82
2018-07-09,2784.17
2018-07-10,2793.84
2018-07-11,2774.02
2018-07-12,2798.29
2018-07-13,2801.31
2018-07-16,2798.43
2018-07-17,2809.55
2018-07-18,2815.62
2018-07-19,2804.49
2018-07-20,2801.83
2018-07-23,2806.98
2018-07-24,2820.4
2018-07-25,2846.07
2018-07-26,2837.44
2018-07-27,2818.82
2018-07-30,2802.6
2018-07-31,2816.29
2018-08-01,2813.36
2018-08-02,2827.22
2018-08-03,2840.35
2018-08-06,2850.4
2018-08-07,2858.45
2018-08-08,2857.7
2018-08-09,2853.58
2018-08-10,2833.28
2018-08-13,2821.93
2018-08-14,2839.96
2018-08-15,2818.37
2018-08-16,2840.69
2018-08-17,2850.13
2018-08-20,2857.05
2018-08-21,2862.96
2018-08-22,2861.82
2018-08-23,2856.98
2018-08-24,2874.69
2018-08-27,2896.74
2018-08-28,2897.52
2018-08-29,2914.04
2018-08-30,2901.13
2018-08-31,2901.52
2018-09-04,2896.72
2018-09-05,2888.6
2018-09-06,2878.05
2018-09-07,2871.68
2018-09-10,2877.13
2018-09-11,2887.89
2018-09-12,2888.92
2018-09-13,2904.18
2018-09-14,2904.98
